scenario,year,nn_patients,revenue_inr_cr,revenue_usd_mn,gross_margin_inr_cr,blended_gross_margin_pct
Base,0,1492214,1046.2,123.8,681.7,65.2
Base,1,1665998,1202.3,142.3,778.2,64.7
Base,2,1856800,1380.7,163.4,887.8,64.3
Base,3,2066151,1584.4,187.5,1012.4,63.9
Base,4,2295713,1817.1,215.0,1154.1,63.5
Base,5,2547289,2082.5,246.5,1315.1,63.1
Upside,0,1492214,1046.2,123.8,681.7,65.2
Upside,1,1759210,1280.0,151.5,830.8,64.9
Upside,2,2063468,1562.3,184.9,1010.8,64.7
Upside,3,2409658,1902.6,225.2,1228.0,64.5
Upside,4,2803002,2312.5,273.7,1489.9,64.4
Upside,5,3249333,2805.7,332.0,1805.5,64.3
Downside,0,1492214,1046.2,123.8,681.7,65.2
Downside,1,1545001,1088.1,128.8,694.8,63.9
Downside,2,1599518,1131.8,133.9,707.8,62.5
Downside,3,1655812,1177.4,139.3,720.9,61.2
Downside,4,1713933,1225.0,145.0,733.9,59.9
Downside,5,1773933,1274.6,150.8,746.9,58.6
